year,oil,condensate,ngl,gas,total
2007,0.00,0.11,0.01,0.14,0.27
2008,0.00,0.51,0.25,2.36,3.11
2009,0.00,0.60,0.33,3.33,4.26
2010,0.00,0.84,0.47,5.00,6.31
2011,0.00,0.72,0.40,4.31,5.44
2012,0.00,0.77,0.43,4.65,5.85
2013,0.00,0.69,0.41,4.29,5.39
2014,0.00,0.81,0.48,5.22,6.51
2015,0.00,0.88,0.54,5.96,7.38
2016,2.95,0.87,0.55,6.06,10.43
2017,2.51,0.79,0.51,5.58,9.39
2018,3.72,0.88,0.58,6.45,11.63
2019,2.36,0.83,0.53,6.22,9.93
2020,2.31,0.49,0.30,3.78,6.88
2021,2.02,0.00,0.00,-0.04,1.98
2022,1.88,0.46,0.25,3.69,6.29
2023,1.49,0.70,0.32,5.89,8.40
2024,1.05,0.62,0.34,5.35,7.37
