year,oil,condensate,ngl,gas,total
1971,0.36,0.00,0.00,0.00,0.36
1972,1.93,0.00,0.00,0.00,1.93
1973,1.87,0.00,0.00,0.00,1.87
1974,2.01,0.00,0.00,0.00,2.01
1975,11.00,0.00,0.00,0.00,11.00
1976,16.23,0.00,0.00,0.00,16.23
1977,16.64,0.00,0.00,2.65,19.30
1978,20.64,0.02,0.00,14.20,34.87
1979,22.48,0.04,1.13,20.67,44.32
1980,28.22,0.05,2.44,25.09,55.80
1981,27.48,0.05,2.17,24.95,54.65
1982,28.53,0.04,2.29,23.96,54.82
1983,35.65,0.04,2.68,23.61,61.98
1984,41.09,0.06,2.64,25.96,69.76
1985,44.76,0.08,2.97,26.19,73.99
1986,48.77,0.06,3.85,26.09,78.77
1987,56.96,0.05,4.12,28.15,89.28
1988,64.72,0.05,4.85,28.33,97.95
1989,85.98,0.05,4.90,28.74,119.67
1990,94.54,0.05,5.01,25.48,125.08
1991,108.51,0.06,4.90,25.03,138.49
1992,124.00,0.05,4.96,25.83,154.85
1993,131.72,0.47,5.52,24.80,162.52
1994,142.40,2.40,7.12,26.84,178.76
1995,148.75,3.18,7.94,27.81,187.68
1996,154.87,3.78,8.23,37.40,204.28
1997,151.22,5.38,8.07,42.62,207.29
1998,137.85,5.05,7.39,43.62,193.91
1999,128.28,5.51,6.99,47.83,188.61
2000,136.67,5.31,7.10,48.64,197.72
2001,136.25,4.98,8.48,47.44,197.15
2002,132.09,4.73,8.67,56.18,201.67
2003,131.71,5.78,8.36,60.16,206.01
2004,132.03,4.09,8.38,64.96,209.46
2005,122.05,3.65,10.43,71.19,207.32
2006,109.67,2.98,10.52,72.90,196.07
2007,99.96,2.88,9.35,69.88,182.08
2008,97.26,2.45,8.93,65.95,174.59
2009,92.60,2.20,8.22,58.84,161.85
2010,83.41,1.80,7.30,61.29,153.81
2011,76.28,2.21,7.93,55.68,142.10
2012,69.93,2.07,9.73,69.23,150.96
2013,66.48,1.77,10.39,64.02,142.66
2014,67.62,0.74,10.85,61.37,140.59
2015,72.75,0.52,11.42,71.94,156.63
2016,76.56,0.01,12.73,71.49,160.78
2017,76.62,0.00,12.76,79.18,168.57
2018,70.01,0.00,11.94,78.36,160.32
2019,68.18,0.00,10.34,68.55,147.07
2020,85.21,0.00,10.99,69.32,165.52
2021,88.98,0.00,9.92,77.25,176.15
2022,85.46,5.8E-5,7.49,80.80,173.75
2023,92.36,5.1E-5,7.76,76.09,176.21
2024,76.71,0.00,6.78,68.50,151.99
