year,crude_oil,natural_gas,condensate,total_exports_of_goods
1971,0.360544467,0,0,180.3022789
1972,2.293051836,0,0,203.2264178
1973,2.07995628,0,0,236.7042683
1974,6.740702558,0,0,277.062818
1975,25.49767133,0,0,270.9985124
1976,43.8801693,0,0,283.1041893
1977,43.65465761,4.943054148,0,283.1800827
1978,48.86131705,26.67485726,0,317.0986156
1979,77.86376161,38.64581174,0,363.0269419
1980,136.2510523,61.66674818,0,438.2598759
1981,130.6709184,71.71811926,0,438.8315555
1982,120.4966482,81.61749503,0,428.0108677
1983,141.5706676,80.76071511,0,457.5790472
1984,169.3379171,87.16095567,0,504.4083783
1985,174.0762026,90.96340682,0,529.9954045
1986,82.57326133,71.06696133,0,387.4424493
1987,98.64293602,43.9355536,0,384.3476804
1988,84.02568928,36.99854515,0,364.6368654
1989,141.6646443,33.81739893,0,446.5700635
1990,170.7943314,32.01577687,0,484.6437758
1991,178.205332,36.15043982,0,488.3512355
1992,178.884428,31.37803143,0,472.5944021
1993,189.356523,30.9986637,0,479.8567733
1994,192.3803662,29.90782818,0,510.5590597
1995,199.8148657,31.03166109,0,542.0662995
1996,273.06647,42.16807789,0,644.0449637
1997,267.1751989,54.10164301,0,672.1405813
1998,174.7866209,52.23468509,0,584.6235679
1999,250.5680885,47.88943651,0,665.7379567
2000,470.3862625,86.84761432,0,962.8328985
2001,414.4434418,107.7491497,14.04563795,939.8993396
2002,345.0595455,103.5748735,12.29285854,824.5559957
2003,332.7300103,105.8178651,17.98825497,821.08903
2004,402.2508564,125.3785842,19.13108786,939.9472401
2005,482.5642243,171.94913,24.65394986,1114.929369
2006,503.9382543,239.3467166,28.52834264,1275.836304
2007,501.0570715,218.0914916,11.81955892,1286.909691
2008,560.3183438,333.1344041,16.89675485,1486.131722
2009,371.6666802,253.3250887,9.899064507,1116.135549
2010,420.0909044,237.4399646,9.258878914,1174.110763
2011,472.4280663,294.2469434,16.2148616,1321.472985
2012,448.3343891,368.5934805,15.75033449,1366.65385
2013,412.2310918,355.9346486,11.82929228,1311.311673
2014,396.153205,313.411237,11.35217896,1274.017204
2015,270.4573444,302.7833607,6.26350868,1146.046463
2016,248.4496591,213.3982522,5.05521122,995.3918822
2017,290.1158457,264.1466195,6.483202768,1123.17944
2018,330.7832694,335.9741064,8.576715749,1266.093361
2019,309.450531,220.5803873,7.112979755,1133.688112
2020,255.5294554,144.650874,4.324105697,953.1779292
2021,422.5036318,675.5569626,2.817415717,1764.501137
2022,620.8033619,1574.12301,5.043593655,2975.011874
2023,569.6523217,664.803821,5.632270864,1991.551921
2024,542.910199,573.734577,5.829252,1854.148881
